id,user_id,movie_name_first,movie_name_second,facebook_id_first,facebook_id_second,user_clicked,created_at,why user liked?,source
1,1,Batman: The Dark Knight,Madagascar,12887942787,149800431712088,149800431712088,2014-11-08 22:05:27,,
2,1,The Lion King,Spider-Man 3,12393266550,195972387095667,12393266550,2014-11-08 22:05:27,,
3,1,X-Men: First Class,Sherlock Holmes,150354778334078,84213402434,84213402434,2014-11-08 22:05:27,,
4,1,Avatar,Batman: The Dark Knight,82771544063,12887942787,12887942787,2014-11-08 22:05:27,,
5,1,Titanic,2012,216410885045047,55200621163,216410885045047,2014-11-08 22:05:27,,
6,1,Kung Fu Panda,Official: Fantastic Four,18128947058,811858478866705,18128947058,2014-11-08 22:05:27,,
7,1,Harry Potter and the Deathly Hallows Part 1,The Incredible Hulk,195095360505573,21700332856,195095360505573,2014-11-08 22:05:27,dgdfregeg,
8,1,Madagascar,The Karate Kid,149800431712088,184695207750,149800431712088,2014-11-08 22:05:27,,
9,1,Spider-Man 3,X-Men Origins: Wolverine,195972387095667,112630065418677,112630065418677,2014-11-08 22:05:27,,
10,1,The Karate Kid,Pirates of the Caribbean 3,184695207750,115081758505771,184695207750,2014-11-08 22:05:27,dgdfgdgdfgdfg,
11,1,The Amazing Spider-Man,X-Men: First Class,101198429956076,150354778334078,101198429956076,2014-11-08 22:05:27,,
12,1,Official: Fantastic Four,Fantastic 4,811858478866705,110131885683575,110131885683575,2014-11-08 22:05:27,,
13,1,2012,Avatar,55200621163,82771544063,55200621163,2014-11-08 22:05:27,dgffdfgdfgdfg,
14,1,Shrek,The Lion King,355374000182,12393266550,12393266550,2014-11-08 22:05:27,,
15,1,Fantastic 4,Harry Potter,110131885683575,156794164312,156794164312,2014-11-08 22:05:27,,
16,1,X-Men Origins: Wolverine,Harry Potter and the Deathly Hallows Part 1,112630065418677,195095360505573,112630065418677,2014-11-08 22:05:27,dgdfgdfgdfg,
17,1,Sherlock Holmes,Shrek,84213402434,355374000182,84213402434,2014-11-08 22:05:27,,
18,1,The Incredible Hulk,Kung Fu Panda,21700332856,18128947058,18128947058,2014-11-08 22:05:27,,
19,1,Harry Potter,Titanic,156794164312,216410885045047,216410885045047,2014-11-08 22:05:27,,
20,1,Pirates of the Caribbean 3,Harry Potter,115081758505771,156794164312,156794164312,2014-11-08 22:05:30,,
21,2,Gravity,Bollytweets,122280464518509,1428080004104080,122280464518509,2014-11-08 22:34:09,,facebook
22,2,The Matrix,The Dark Knight Rises,195843020454275,225034700870481,195843020454275,2014-11-08 22:34:09,,facebook
23,2,Pirates of the Caribbean: Dead Man's Chest,The Matrix,109392685745478,195843020454275,195843020454275,2014-11-08 22:34:09,,facebook
